"ensembl_gene_id","logFC","P.Value","adj.P.Val","comparison"
"ENSMUSG00000033732",-0.205326673197373,0.000367874259953417,0.0119045192504043,"4h_vs_0h"
"ENSMUSG00000013629",0.31801130181082,0.000375506242813011,0.0120627954351829,"4h_vs_0h"
"ENSMUSG00000021116",0.420783996027946,0.000382774244230256,0.0122071699192562,"4h_vs_0h"
"ENSMUSG00000059070",0.270937155418871,0.000386750669153791,0.012233394418139,"4h_vs_0h"
"ENSMUSG00000044533",0.239186331841186,0.00038915592332185,0.012233394418139,"4h_vs_0h"
"ENSMUSG00000037475",-0.276103473218964,0.000407694045621302,0.0127252588282223,"4h_vs_0h"
"ENSMUSG00000068749",0.384196357320299,0.000432746573177004,0.0134120962574084,"4h_vs_0h"
"ENSMUSG00000028138",0.576531261625455,0.000458458495536158,0.0141096212507317,"4h_vs_0h"
"ENSMUSG00000000628",-0.205589798500107,0.000479109487436329,0.0146427837097728,"4h_vs_0h"
"ENSMUSG00000020593",2.87759046583058,0.000484463863741813,0.0147043135470877,"4h_vs_0h"
"ENSMUSG00000078812",0.416745548842314,0.000494766725571541,0.014914166844112,"4h_vs_0h"
"ENSMUSG00000029713",-0.312912732452581,0.00050550962993638,0.0151343393289116,"4h_vs_0h"
"ENSMUSG00000027782",0.381016244268885,0.000518679576956196,0.0154237082309745,"4h_vs_0h"
"ENSMUSG00000090553",-0.412581303291603,0.000529115423247168,0.0156284360920187,"4h_vs_0h"
"ENSMUSG00000030744",0.207445869611526,0.000560300272078577,0.0164392099827854,"4h_vs_0h"
"ENSMUSG00000063229",0.417830145381238,0.00057470619711808,0.0167502117451435,"4h_vs_0h"
"ENSMUSG00000030826",-0.2392555225222,0.00064365074950798,0.0186362299248988,"4h_vs_0h"
"ENSMUSG00000030884",-0.24473248029944,0.000649630467264108,0.0186864293230676,"4h_vs_0h"
"ENSMUSG00000058135",0.469483934887297,0.000661462846558336,0.0189032336863847,"4h_vs_0h"
"ENSMUSG00000009470",0.231323740981775,0.000707014303823018,0.0200746448459684,"4h_vs_0h"
"ENSMUSG00000014769",0.44793324065142,0.000743668670734455,0.0209800373070663,"4h_vs_0h"
"ENSMUSG00000025132",0.280814249688238,0.000760969826831772,0.0213313898591505,"4h_vs_0h"
"ENSMUSG00000005161",0.350826066180687,0.000771818648902085,0.021465034015656,"4h_vs_0h"
"ENSMUSG00000028745",0.379516889151244,0.000779597509757379,0.021465034015656,"4h_vs_0h"
"ENSMUSG00000047675",0.182748778453149,0.000780369334811396,0.021465034015656,"4h_vs_0h"
"ENSMUSG00000021196",0.294665660023039,0.000794542770690471,0.0216101682590299,"4h_vs_0h"
"ENSMUSG00000000686",-0.518199083401047,0.000795466316283311,0.0216101682590299,"4h_vs_0h"
"ENSMUSG00000022216",0.564990198063139,0.000820502281148351,0.0221535615910055,"4h_vs_0h"
"ENSMUSG00000027195",-0.16788530439668,0.000830835773754069,0.02221472336935,"4h_vs_0h"
"ENSMUSG00000021417",-0.275964113802029,0.000832862839341683,0.02221472336935,"4h_vs_0h"
"ENSMUSG00000021748",-0.198479933512697,0.00084850496084868,0.0224956044138255,"4h_vs_0h"
"ENSMUSG00000040253",3.03673463892451,0.000880444360841822,0.0230896171432126,"4h_vs_0h"
"ENSMUSG00000020580",3.29685261649777,0.000884838327719398,0.0230896171432126,"4h_vs_0h"
"ENSMUSG00000040731",0.527735332917189,0.000887835319639896,0.0230896171432126,"4h_vs_0h"
"ENSMUSG00000037070",-0.254133709986089,0.000891896140501282,0.0230896171432126,"4h_vs_0h"
"ENSMUSG00000025068",0.427710861773196,0.000899677141670138,0.0231548485408788,"4h_vs_0h"
"ENSMUSG00000032479",0.623689801014557,0.0009201106771323,0.0235430644770887,"4h_vs_0h"
"ENSMUSG00000045983",0.285981315196384,0.00093693343790213,0.0238349367642039,"4h_vs_0h"
"ENSMUSG00000068220",0.489594982359684,0.000942441603861253,0.0238372729804217,"4h_vs_0h"
"ENSMUSG00000067194",0.455007619498602,0.00098810046736655,0.0248493151821725,"4h_vs_0h"
"ENSMUSG00000062328",0.280717015363368,0.0010218642487259,0.0255524122650151,"4h_vs_0h"
"ENSMUSG00000021244",-0.245204083588487,0.00103509085235915,0.0256113240352326,"4h_vs_0h"
"ENSMUSG00000004264",-0.249682227738209,0.00103585904982309,0.0256113240352326,"4h_vs_0h"
"ENSMUSG00000027712",0.203982716190769,0.00106734620802983,0.0261715856894513,"4h_vs_0h"
"ENSMUSG00000022186",-0.161182617118811,0.00107041250263604,0.0261715856894513,"4h_vs_0h"
"ENSMUSG00000071172",-0.33152232814637,0.00109141354480037,0.0265101982024,"4h_vs_0h"
"ENSMUSG00000052997",0.361557434805857,0.00109630903722718,0.0265101982024,"4h_vs_0h"
"ENSMUSG00000068290",2.82085991613993,0.00112517054783753,0.0270594294045517,"4h_vs_0h"
"ENSMUSG00000035948",-0.335156798895245,0.00113198128574521,0.0270752697748079,"4h_vs_0h"
"ENSMUSG00000066306",-0.192499806311726,0.00115691985407342,0.0275221852852817,"4h_vs_0h"
"ENSMUSG00000079104",0.387623271727975,0.00116783961115013,0.0275544588909999,"4h_vs_0h"
